Index,Type,Weight,Ppp
1,Shrimp,0.843,16.99
2,Crab,0.269,20.95
3,Scallop,0.513,9.41
4,Scallop,0.012,9.41
5,Shrimp,0.561,16.99
6,Fish,0.231,1.56
7,Scallop,0.918,9.41
8,Fish,0.046,1.56
9,Fish,0.018,1.56
10,Fish,0.678,1.56
11,Scallop,0.064,9.41
12,Fish,0.632,1.56
13,Crab,0.533,20.95
14,Scallop,0.114,9.41
15,Shrimp,0.921,16.99
16,Scallop,0.624,9.41
17,Fish,0.627,1.56
18,Crab,0.379,20.95
19,Scallop,0.439,9.41
20,Scallop,0.011,9.41
21,Crab,0.024,20.95
22,Crab,0.3,20.95
23,Shrimp,0.716,16.99
24,Shrimp,0.664,16.99
25,Shrimp,0.261,16.99
26,Shrimp,0.314,16.99
27,Shrimp,0.946,16.99
28,Crab,0.111,20.95
29,Scallop,0.885,9.41
30,Scallop,0.664,9.41
31,Scallop,0.502,9.41
32,Shrimp,0.487,16.99
33,Fish,0.29,1.56
34,Scallop,0.524,9.41
35,Fish,0.399,1.56
36,Shrimp,0.927,16.99
37,Scallop,0.202,9.41
38,Fish,0.111,1.56
39,Crab,0.551,20.95
40,Fish,0.335,1.56
41,Scallop,0.465,9.41
42,Shrimp,0.691,16.99
43,Scallop,0.712,9.41
44,Scallop,0.614,9.41
45,Scallop,0.281,9.41
46,Shrimp,0.176,16.99
47,Scallop,0.682,9.41
48,Crab,0.181,20.95
49,Shrimp,0.3,16.99
50,Fish,0.854,1.56
51,Shrimp,0.432,16.99
52,Fish,0.816,1.56
53,Scallop,0.98,9.41
54,Crab,0.712,20.95
55,Crab,0.044,20.95
56,Fish,0.677,1.56
57,Shrimp,0.456,16.99
58,Shrimp,0.691,16.99
59,Scallop,0.988,9.41
60,Scallop,0.618,9.41
61,Crab,0.759,20.95
62,Crab,0.173,20.95
63,Scallop,0.09,9.41
64,Crab,0.786,20.95
65,Shrimp,0.589,16.99
66,Shrimp,0.994,16.99
67,Crab,0.691,20.95
68,Crab,0.824,20.95
69,Crab,0.014,20.95
70,Shrimp,0.242,16.99
71,Fish,0.93,1.56
72,Shrimp,0.941,16.99
73,Shrimp,0.397,16.99
74,Shrimp,0.202,16.99
75,Scallop,0.779,9.41
76,Scallop,0.501,9.41
77,Scallop,0.577,9.41
78,Fish,0.808,1.56
79,Fish,0.448,1.56
80,Shrimp,0.773,16.99
81,Fish,0.837,1.56
82,Crab,0.138,20.95
83,Scallop,0.034,9.41
84,Shrimp,0.973,16.99
85,Scallop,0.455,9.41
86,Scallop,0.555,9.41
87,Shrimp,0.862,16.99
88,Scallop,0.733,9.41
89,Fish,0.727,1.56
90,Fish,0.32,1.56
91,Fish,0.756,1.56
92,Shrimp,0.72,16.99
93,Fish,0.163,1.56
94,Fish,0.652,1.56
95,Scallop,0.627,9.41
96,Shrimp,0.184,16.99
97,Crab,0.21,20.95
98,Crab,0.475,20.95
99,Crab,0.133,20.95
100,Shrimp,0.859,16.99
101,Fish,0.25,1.56
102,Shrimp,0.314,16.99
103,Scallop,0.842,9.41
104,Shrimp,0.762,16.99
105,Crab,0.807,20.95
106,Shrimp,0.139,16.99
107,Fish,0.294,1.56
108,Shrimp,0.155,16.99
109,Crab,0.874,20.95
110,Crab,0.221,20.95
111,Fish,0.579,1.56
112,Crab,0.087,20.95
113,Fish,0.025,1.56
114,Shrimp,0.468,16.99
115,Fish,0.574,1.56
116,Scallop,0.758,9.41
117,Scallop,0.497,9.41
118,Scallop,0.063,9.41
119,Fish,0.781,1.56
120,Fish,0.132,1.56
121,Fish,0.746,1.56
122,Shrimp,0.641,16.99
123,Crab,0.776,20.95
124,Fish,0.102,1.56
125,Crab,0.084,20.95
126,Shrimp,0.712,16.99
127,Fish,0.651,1.56
128,Scallop,0.818,9.41
129,Fish,0.868,1.56
130,Crab,0.483,20.95
131,Fish,0.473,1.56
132,Fish,0.649,1.56
133,Scallop,0.373,9.41
134,Fish,0.766,1.56
135,Fish,0.688,1.56
136,Crab,0.661,20.95
137,Shrimp,0.925,16.99
138,Fish,0.185,1.56
139,Crab,0.632,20.95
140,Shrimp,0.44,16.99
141,Scallop,0.08,9.41
142,Crab,0.477,20.95
143,Crab,0.775,20.95
144,Shrimp,0.512,16.99
145,Scallop,0.649,9.41
146,Crab,0.259,20.95
147,Scallop,0.086,9.41
148,Crab,0.632,20.95
149,Crab,0.131,20.95
150,Crab,0.321,20.95
151,Scallop,0.989,9.41
152,Shrimp,0.744,16.99
153,Crab,0.709,20.95
154,Shrimp,0.091,16.99
155,Crab,0.653,20.95
156,Fish,0.449,1.56
157,Fish,0.273,1.56
158,Shrimp,0.701,16.99
159,Shrimp,0.036,16.99
160,Crab,0.414,20.95
161,Shrimp,0.093,16.99
162,Shrimp,0.735,16.99
163,Scallop,0.929,9.41
164,Fish,0.275,1.56
165,Crab,0.654,20.95
166,Scallop,0.55,9.41
167,Fish,0.473,1.56
168,Shrimp,0.245,16.99
169,Scallop,0.852,9.41
170,Shrimp,0.824,16.99
171,Fish,0.041,1.56
172,Shrimp,0.789,16.99
173,Shrimp,0.231,16.99
174,Shrimp,0.823,16.99
175,Shrimp,0.126,16.99
176,Fish,0.479,1.56
177,Scallop,0.186,9.41
178,Fish,0.715,1.56
179,Shrimp,0.898,16.99
180,Scallop,0.36,9.41
181,Fish,0.087,1.56
182,Scallop,0.155,9.41
183,Fish,0.37,1.56
184,Crab,0.924,20.95
185,Scallop,0.093,9.41
186,Crab,0.273,20.95
187,Shrimp,0.722,16.99
188,Shrimp,0.14,16.99
189,Fish,0.027,1.56
190,Fish,0.16,1.56
191,Crab,0.168,20.95
192,Shrimp,0.757,16.99
193,Fish,0.048,1.56
194,Scallop,0.888,9.41
195,Crab,0.897,20.95
196,Shrimp,0.535,16.99
197,Fish,0.026,1.56
198,Shrimp,0.152,16.99
199,Scallop,0.052,9.41
200,Shrimp,0.904,16.99
201,Fish,0.444,1.56
202,Crab,0.634,20.95
203,Fish,0.414,1.56
204,Fish,0.008,1.56
205,Shrimp,0.4,16.99
206,Scallop,0.269,9.41
207,Shrimp,0.424,16.99
208,Fish,0.059,1.56
209,Fish,0.756,1.56
210,Crab,0.689,20.95
211,Fish,0.465,1.56
212,Shrimp,0.393,16.99
213,Shrimp,0.778,16.99
214,Crab,0.275,20.95
215,Shrimp,0.871,16.99
216,Scallop,0.666,9.41
217,Scallop,0.666,9.41
218,Crab,0.382,20.95
219,Shrimp,0.943,16.99
220,Crab,0.18,20.95
221,Shrimp,0.236,16.99
222,Fish,0.524,1.56
223,Shrimp,0.379,16.99
224,Crab,0.414,20.95
225,Fish,0.605,1.56
226,Crab,0.518,20.95
227,Fish,0.913,1.56
228,Crab,0.441,20.95
229,Scallop,0.186,9.41
230,Fish,0.855,1.56
231,Crab,0.62,20.95
232,Shrimp,0.087,16.99
233,Fish,0.445,1.56
234,Fish,0.845,1.56
235,Crab,0.317,20.95
236,Scallop,0.35,9.41
237,Shrimp,0.865,16.99
238,Scallop,0.416,9.41
239,Crab,0.711,20.95
240,Scallop,0.807,9.41
241,Scallop,0.313,9.41
242,Crab,0.793,20.95
243,Crab,0.459,20.95
244,Crab,0.493,20.95
245,Fish,0.524,1.56
246,Scallop,0.667,9.41
247,Crab,0.123,20.95
248,Fish,0.008,1.56
249,Crab,0.746,20.95
250,Scallop,0.876,9.41
251,Crab,0.054,20.95
252,Fish,0.396,1.56
253,Crab,0.671,20.95
254,Crab,0.078,20.95
255,Shrimp,0.627,16.99
256,Scallop,0.702,9.41
257,Fish,0.664,1.56
258,Shrimp,0.363,16.99
259,Fish,0.87,1.56
260,Fish,0.97,1.56
261,Scallop,0.951,9.41
262,Crab,0.257,20.95
263,Scallop,0.458,9.41
264,Shrimp,0.839,16.99
265,Fish,0.873,1.56
266,Fish,0.125,1.56
267,Fish,0.261,1.56
268,Crab,0.823,20.95
269,Scallop,0.524,9.41
270,Fish,0.534,1.56
271,Shrimp,0.092,16.99
272,Fish,0.854,1.56
273,Shrimp,0.094,16.99
274,Crab,0.76,20.95
275,Scallop,0.107,9.41
276,Shrimp,0.607,16.99
277,Scallop,0.036,9.41
278,Shrimp,0.234,16.99
279,Fish,0.306,1.56
280,Scallop,0.695,9.41
281,Crab,0.709,20.95
282,Crab,0.4,20.95
283,Fish,0.97,1.56
284,Fish,0.867,1.56
285,Fish,0.523,1.56
286,Crab,0.163,20.95
287,Fish,0.427,1.56
288,Shrimp,0.905,16.99
289,Shrimp,0.723,16.99
290,Scallop,0.804,9.41
291,Fish,0.475,1.56
292,Crab,0.07,20.95
293,Scallop,0.854,9.41
294,Scallop,0.039,9.41
295,Shrimp,0.927,16.99
296,Scallop,0.578,9.41
297,Scallop,0.652,9.41
298,Scallop,0.638,9.41
299,Shrimp,0.226,16.99
300,Shrimp,0.754,16.99
